group1,group2
0.01957366065104709,0.01075017109916663
0.01712080012715509,0.01161172084636504
0.0190480678422405,0.01124584523161247
0.02334599562488495,0.014041816975446753
0.023008509740239495,0.008905746582832854
0.021984649841870197,0.01950409300796143
0.02678289482448387,0.01972869624525927
0.0194888973621809,0.011130293459875071
0.023499779812520875,0.012053438360866989
0.027679185295138135,0.01819636948790463
0.0266588404104215,0.01786393215164241
0.016152790574276907,0.01117999580475051
0.013966119826307119,0.01031375581395572
0.021331967539889665,0.009658137053683357
0.01998885373860723,0.010624417028411881
0.01768536209594583,0.008717596725659815
0.022279486194290245,0.012427959870383294
0.01506065182033881,0.011330360692230456
0.02544475205122209,0.015131918887194298
0.01841458964750822,0.010728829611094937
0.020085978932069818,0.013869720112547716
0.022722878858035298,0.01711479559694857
0.01834569966620932,0.012695160069090512
0.01904889690719805,0.01251765991494014
0.025417823105093277,0.014660269262544245
0.020306561894415712,0.014576326771208155
0.019492805656894277,0.01426451926371033
0.017682611690511888,0.011367586231638409
0.01692019248170603,0.01092392971292588
0.01731049773857748,0.012383194533553814
0.01565270642043882,0.01200927135358054
0.027681434706270904,0.01869885780157239
0.014107775767258237,0.011399851385974592
0.018689803212821696,0.01290973711849318
0.014867448568077583,0.014578726225141121
0.015539108016195452,0.011407406005158726
0.025240554141999112,0.018218287625052166
0.024318302812443886,0.022045094193530537
0.017940617697956383,0.011473778732171154
0.024283549215276003,0.020074538806181815
0.03188530134709973,0.01882575934876022
0.017854567180445983,0.011239031527256905
0.02209804089034505,0.020720035798100826
0.019262057381463745,0.011229406043802933
0.01765401437874318,0.011114258614132837
0.021877357599345403,0.013859812391095875
0.019840947416259594,0.012321548456841578
0.022593502783887394,0.01366564842421749
0.016481662122226078,0.013657252593973936
0.03040326346359705,0.015357505890708115
0.017267293313752017,0.01310143982095016
0.018596688489010593,0.010755182436079265
0.02598626207132478,0.010723071434764872
0.018655195088524843,0.009933483567368442
0.01673688965934929,0.010005284374752971
0.018342128579414203,0.017467976688834114
0.018172229039615,0.009621653167373165
0.015375078760334629,0.010739432727248114
0.016431721636901833,0.011331234245465158
0.02033027048985021,0.013229970447513752
0.016474916297267193,0.010014859188739228
0.022593965108171736,0.017177858739635565
0.018995993271871143,0.010722858041195625
0.021611618741946094,0.009698770084164567
0.019716252396135243,0.01188381907721241
0.016588246156906437,0.02919873140859365
0.025204364225850113,0.012200465954061582
0.02548266793504391,0.018753972584466875
0.021481053498649927,0.011393349947657956
0.02132368270947207,0.013915572731674425
0.019005481078559722,0.010280223868732775
0.017507463456958784,0.01369170263065748
0.016555918543844143,0.01313232903935377
0.016932445069984443,0.012113627001267634
0.018759170312188066,0.014339456570236967
0.017610803877339116,0.01475893173743551
0.02121875259070707,0.014558577304155402
0.015593687325814919,0.010635394228481131
0.021963333242563745,0.014535231920020054
0.018209972545375482,0.010580899966350971
0.019438168990588565,0.010619869150541939
0.021947578325849194,0.013012572633123342
0.022664626367511362,0.01332806121343345
0.015292522267368856,0.018790158155168005
0.017391690795198082,0.009310141215778507
0.019581482208506418,0.012230557596807762
0.02678603522674058,0.015203055364730086
0.02696253859973518,0.01886268157451115
0.019084639753786495,0.010516537948537427
0.01530169645929138,0.011995223176505324
0.015381478903388564,0.011435981958933047
0.02951390312142273,0.020305373127170057
0.027074616194508048,0.015281906218209322
0.0182127219336832,0.01060406032421142
0.025432435969097004,0.01965446957805298
0.02242384835066716,0.011739938021214315
0.023315311424788546,0.016310829385269208
0.028788319542202612,0.021928402075381204
0.02023339363795063,0.012734603026648195
0.01818941177247356,0.010408274233265907
