,Unnamed: 0,Region,Count,p-value,FDR-corrected p,Significant,Cohen's h,roi,x,y,z,Label,network
13,13,"Sensory_Somatomotor_Hand_35
",31,6.639632376990814e-17,5.027150228293045e-16,True,0.7334617856116334,35,-13,-17,75,"Sensory_Somatomotor_Hand_35
",Sensory
12,12,"Sensory_Somatomotor_Hand_31
",49,6.682892226798942e-37,5.449127508005291e-36,True,1.103256748512503,31,10,-17,74,"Sensory_Somatomotor_Hand_31
",Sensory
11,11,"Sensory_Somatomotor_Hand_23
",62,7.228506101797579e-55,6.385180389921195e-54,True,1.3656239331248574,23,-23,-30,72,"Sensory_Somatomotor_Hand_23
",Sensory
10,10,"Sensory_Somatomotor_Hand_36
",66,5.300213857229602e-61,5.1074788078758e-60,True,1.4489875693805243,36,42,-20,55,"Sensory_Somatomotor_Hand_36
",Sensory
9,9,"Sensory_Somatomotor_Hand_21
",68,3.4932973519394605e-64,3.702895193055828e-63,True,1.491525975522534,21,29,-17,71,"Sensory_Somatomotor_Hand_21
",Sensory
8,8,"Sensory_Somatomotor_Hand_28
",78,2.4634363057121537e-81,2.90138053783876e-80,True,1.7176438820869562,28,20,-29,60,"Sensory_Somatomotor_Hand_28
",Sensory
7,7,"Sensory_Somatomotor_Hand_34
",82,7.389706145093056e-89,9.7913606422483e-88,True,1.8177563477124496,34,-21,-31,61,"Sensory_Somatomotor_Hand_34
",Sensory
6,6,"Sensory_Somatomotor_Hand_18
",85,8.463256886961284e-95,1.2815789000255658e-93,True,1.8986555786966477,18,-7,-33,72,"Sensory_Somatomotor_Hand_18
",Sensory
5,5,"Sensory_Somatomotor_Hand_19
",88,4.865324749709952e-101,8.595407057820915e-100,True,1.986571197101448,19,13,-33,75,"Sensory_Somatomotor_Hand_19
",Sensory
4,4,"Uncertain_2
",92,6.186452547709959e-110,1.3115279401145112e-108,True,2.120541304457694,2,27,-97,-13,"Uncertain_2
",Uncertain
3,3,"Uncertain_142
",93,2.754593858464761e-112,7.299673724931618e-111,True,2.158527754566403,142,-12,-95,-13,"Uncertain_142
",Uncertain
2,2,"Sensory_Somatomotor_Hand_37
",97,1.997709878490625e-122,7.0585749040002095e-121,True,2.34588838760783,37,-38,-15,69,"Sensory_Somatomotor_Hand_37
",Sensory
1,1,"Sensory_Somatomotor_Hand_24
",98,3.1656499462949823e-125,1.6777944715363407e-123,True,2.410260299672464,24,-40,-19,54,"Sensory_Somatomotor_Hand_24
",Sensory
0,0,"Sensory_Somatomotor_Hand_27
",98,3.1656499462949823e-125,1.6777944715363407e-123,True,2.410260299672464,27,-38,-27,69,"Sensory_Somatomotor_Hand_27
",Sensory
