Column,Statistic,P-value,r,FDR_P-value
2,8224.0,0.06017390144504318,0.12087907398748743,0.07736644471505551
1,9295.0,0.00011257971286232735,0.2483017986337463,0.0005066087078804731
4,5481.0,0.0013961386979981457,-0.20547063068542398,0.002513049656396662
3,5451.0,0.0011501055295689577,-0.20903989468111753,0.002513049656396662
6,6228.0,0.06984966600366811,-0.1165959571926552,0.07858087425412663
7,7681.0,0.3818377357263746,0.056275395665434595,0.3818377357263746
5,8388.0,0.02903185389693349,0.1403910504972787,0.04354778084540024
8,5434.0,0.0010291224593884842,-0.2110624776120105,0.002513049656396662
9,4632.0,1.8716558794030197e-06,-0.3064808017635508,1.6844902914627177e-05
